id,title,author,authors,isbn10,format,publisher,pubdate,pages
283,Beat Poets,Carmela Ciuraru,"Carmela Ciuraru (Editor), Kevin Young",375413324,Hardcover,Knopf Doubleday Publishing Group,Jul-02,256
284,Brooklyn Was Mine,Chris Knutsen,"Chris Knutsen (Editor), Valerie Steiker (Editor), Phillip Lopate (Introduction), Jennifer Egan, Darin Strauss",1594482829,Paperback,Penguin Group (USA) Incorporated,Jan-08,240
285,New Playwrights: The Best Plays of 2007,Lawrence Harbison,"Lawrence Harbison (Editor), David Epstein",157525591X,Paperback,"Smith & Kraus, Inc.",Jul-08,416
286,The Best American Erotic Poems: From 1800 to the Present,David Lehman,David Lehman,1416537465,Paperback,Simon & Schuster Adult Publishing Group,Feb-08,336
287,The Best of the West: An Anthology of Classic Writing from the American West,Tony Hillerman,Tony Hillerman,60923520,Paperback,HarperCollins Publishers,Sep-92,544
288,Atop an Underwood: Early Stories and Other Writings,Jack Kerouac,"Jack Kerouac, Paul Marion (Editor), Paul Marion (Commentaries by), Paul Marion",140296395,Paperback,Penguin Group (USA),Nov-00,272
289,"The African American Experience: Black History and Culture Through Speeches, Letters, Editorials, Poems, Songs, and Stories",Kai Wright,Kai Wright,1579127738,Paperback,"Black Dog & Leventhal Publishers, Inc.",Jan-09,720
290,Best New Poets: 50 Poems from Emerging Writers,Kim Addonizio,"Kim Addonizio (Editor), Jeb Livingood",097662964X,Paperback,Samovar Press,Nov-09,158
291,Inherit the Atchafalaya,Greg Guirard,"Greg Guirard, C. Ray Brassieur, University of Louisiana at Lafayette, Center for Louisiana Studies Staff (Contribution by), Louisiana, Dept. of Natural Resources Staff",1887366768,Hardcover,University of Louisiana at Lafayette Press,Jul-07,
292,The Best American Poetry 2007,Heather McHugh,"Heather McHugh (Editor), David Lehman",743299736,Paperback,Simon & Schuster Adult Publishing Group,Sep-07,192
293,The Best American Poetry 2006,Billy Collins,"Billy Collins (Editor), David Lehman",743257596,Paperback,Simon & Schuster Adult Publishing Group,Sep-06,
